iter	Passed	Remaining
905	6180	85105
906	6187	85096
907	6194	85090
908	6201	85081
909	6207	85075
910	6214	85069
911	6221	85063
912	6228	85060
913	6235	85052
914	6242	85044
915	6249	85039
916	6255	85031
917	6262	85024
918	6269	85017
919	6276	85014
920	6283	85006
921	6290	85002
922	6297	84999
923	6304	84996
924	6311	84988
925	6318	84984
926	6325	84980
927	6332	84976
928	6339	84973
929	6346	84967
930	6353	84958
931	6359	84951
932	6367	84948
933	6373	84941
934	6380	84933
935	6387	84928
936	6394	84921
937	6401	84916
938	6407	84907
939	6415	84907
940	6422	84906
941	6429	84901
942	6436	84894
943	6443	84887
944	6450	84887
945	6457	84884
946	6464	84876
947	6471	84868
948	6477	84859
949	6484	84851
950	6491	84846
951	6498	84838
952	6505	84832
953	6512	84829
954	6519	84827
955	6526	84822
956	6533	84819
957	6540	84816
958	6547	84809
959	6554	84808
960	6561	84801
961	6569	84808
962	6576	84802
963	6583	84799
964	6590	84789
965	6596	84782
966	6603	84779
967	6610	84772
968	6617	84764
969	6624	84758
970	6630	84747
971	6637	84740
972	6644	84735
973	6651	84729
974	6658	84725
975	6665	84722
976	6672	84714
977	6679	84712
978	6686	84704
979	6693	84703
980	6700	84698
981	6707	84690
982	6714	84687
983	6721	84680
984	6728	84672
985	6735	84666
986	6741	84658
987	6748	84649
988	6755	84641
989	6762	84637
990	6769	84634
991	6776	84626
992	6782	84619
993	6789	84614
994	6796	84609
995	6803	84604
996	6810	84599
997	6817	84592
998	6824	84586
999	6831	84579
1000	6838	84571
1001	6845	84566
1002	6852	84561
1003	6858	84553
1004	6865	84546
1005	6872	84544
1006	6879	84538
1007	6886	84533
1008	6893	84523
1009	6900	84516
1010	6907	84511
1011	6913	84500
1012	6920	84492
1013	6927	84484
1014	6934	84479
1015	6940	84470
1016	6947	84467
1017	6954	84460
1018	6961	84456
1019	6968	84447
1020	6975	84442
1021	6982	84435
1022	6988	84425
1023	6995	84412
1024	7002	84409
1025	7009	84402
1026	7015	84391
1027	7022	84382
1028	7029	84376
1029	7035	84370
1030	7043	84367
1031	7050	84362
1032	7056	84354
1033	7063	84345
1034	7070	84340
1035	7077	84333
1036	7084	84326
1037	7091	84320
1038	7097	84313
1039	7104	84307
1040	7112	84308
1041	7119	84302
1042	7125	84291
1043	7132	84284
1044	7139	84281
1045	7146	84276
1046	7153	84269
1047	7160	84264
1048	7167	84258
1049	7174	84251
1050	7181	84248
1051	7188	84241
1052	7195	84236
1053	7202	84234
1054	7209	84231
1055	7216	84226
1056	7223	84220
1057	7230	84218
1058	7237	84214
1059	7244	84206
1060	7251	84204
1061	7258	84194
1062	7265	84186
1063	7271	84176
1064	7278	84169
1065	7285	84163
1066	7292	84155
1067	7298	84148
1068	7305	84140
1069	7312	84135
1070	7319	84127
1071	7325	84118
1072	7332	84109
1073	7339	84101
1074	7345	84091
1075	7352	84086
1076	7359	84077
1077	7366	84069
1078	7373	84061
1079	7379	84053
1080	7386	84046
1081	7393	84042
1082	7400	84038
1083	7407	84032
1084	7414	84024
1085	7421	84019
1086	7428	84012
1087	7435	84010
1088	7442	84006
1089	7449	84001
1090	7456	83994
1091	7463	83988
1092	7469	83981
1093	7477	83977
1094	7484	83978
1095	7491	83973
1096	7498	83966
1097	7505	83961
1098	7512	83954
1099	7519	83947
1100	7526	83942
1101	7533	83937
1102	7539	83931
1103	7546	83925
1104	7553	83917
1105	7560	83913
1106	7567	83906
1107	7574	83899
1108	7581	83894
1109	7588	83889
1110	7595	83885
1111	7602	83879
1112	7609	83876
1113	7616	83867
1114	7623	83865
1115	7630	83860
1116	7637	83853
1117	7644	83847
1118	7651	83841
1119	7657	83833
1120	7664	83828
1121	7671	83819
1122	7678	83812
1123	7685	83805
1124	7691	83798
1125	7698	83790
1126	7705	83783
1127	7712	83779
1128	7720	83778
1129	7727	83777
1130	7735	83779
1131	7743	83791
1132	7750	83787
1133	7758	83787
1134	7764	83779
1135	7771	83772
1136	7779	83771
1137	7786	83766
1138	7793	83760
1139	7800	83754
1140	7807	83750
1141	7813	83743
1142	7820	83737
1143	7827	83731
1144	7834	83722
1145	7841	83718
1146	7848	83712
1147	7855	83705
1148	7862	83698
1149	7869	83692
1150	7875	83683
1151	7882	83675
1152	7889	83671
1153	7896	83664
1154	7903	83657
1155	7909	83647
1156	7916	83639
1157	7923	83631
1158	7930	83625
1159	7937	83620
1160	7944	83615
1161	7951	83610
1162	7957	83600
1163	7964	83593
1164	7971	83587
1165	7978	83583
1166	7985	83577
1167	7992	83574
1168	7999	83566
1169	8006	83561
1170	8013	83556
1171	8020	83550
1172	8027	83546
1173	8034	83539
1174	8041	83536
1175	8048	83526
1176	8054	83519
1177	8061	83514
1178	8068	83508
1179	8075	83503
1180	8082	83496
1181	8089	83490
1182	8096	83484
1183	8103	83476
1184	8110	83475
1185	8117	83469
1186	8124	83464
1187	8131	83457
1188	8138	83448
1189	8144	83438
1190	8151	83430
1191	8158	83423
1192	8165	83418
1193	8172	83412
1194	8179	83405
1195	8185	83397
1196	8192	83390
1197	8199	83386
1198	8206	83378
1199	8213	83370
1200	8220	83364
1201	8226	83358
1202	8233	83352
1203	8240	83343
1204	8247	83337
1205	8254	83331
1206	8260	83320
1207	8267	83312
1208	8274	83304
1209	8280	83295
1210	8287	83289
1211	8294	83282
1212	8301	83277
1213	8308	83271
1214	8315	83264
1215	8322	83257
1216	8329	83249
1217	8335	83241
1218	8342	83233
1219	8349	83228
1220	8356	83218
1221	8363	83215
1222	8370	83208
1223	8377	83208
1224	8385	83215
1225	8393	83219
1226	8401	83218
1227	8408	83219
1228	8416	83216
1229	8423	83210
1230	8430	83204
1231	8436	83197
1232	8443	83191
1233	8450	83183
1234	8457	83179
1235	8464	83174
1236	8471	83167
1237	8478	83159
1238	8485	83152
1239	8491	83145
1240	8498	83140
1241	8505	83132
1242	8512	83127
1243	8519	83123
1244	8526	83114
1245	8533	83110
1246	8540	83102
1247	8547	83096
1248	8554	83090
1249	8561	83086
1250	8568	83080
1251	8574	83071
1252	8582	83070
1253	8589	83066
1254	8596	83062
1255	8603	83056
1256	8610	83052
1257	8617	83047
1258	8624	83038
1259	8631	83029
1260	8637	83021
1261	8644	83012
1262	8651	83003
1263	8657	82997
1264	8664	82987
1265	8671	82978
1266	8677	82968
1267	8684	82960
1268	8691	82955
1269	8698	82949
1270	8705	82940
1271	8711	82931
1272	8718	82926
1273	8725	82920
1274	8731	82908
1275	8738	82902
1276	8745	82893
1277	8752	82886
1278	8759	82880
1279	8766	82873
1280	8772	82865
1281	8779	82859
1282	8786	82856
1283	8793	82847
1284	8800	82841
1285	8807	82836
1286	8814	82831
1287	8821	82824
1288	8828	82817
1289	8835	82811
1290	8841	82803
1291	8848	82794
1292	8855	82785
1293	8862	82782
1294	8869	82775
1295	8876	82769
1296	8883	82762
1297	8889	82752
1298	8896	82746
1299	8903	82737
1300	8910	82731
1301	8917	82725
1302	8923	82719
1303	8930	82711
1304	8937	82702
1305	8943	82694
1306	8951	82690
1307	8957	82679
1308	8964	82672
1309	8971	82666
1310	8978	82661
1311	8985	82653
1312	8991	82646
1313	8998	82639
1314	9005	82633
1315	9013	82631
1316	9019	82624
1317	9026	82614
1318	9033	82609
1319	9040	82602
1320	9047	82594
1321	9053	82587
1322	9060	82582
1323	9067	82576
1324	9075	82572
1325	9081	82565
1326	9088	82558
1327	9095	82553
1328	9102	82543
1329	9109	82539
1330	9116	82534
1331	9123	82528
1332	9130	82520
1333	9137	82518
1334	9144	82512
1335	9151	82504
1336	9158	82497
1337	9164	82491
1338	9171	82485
1339	9178	82480
1340	9185	82473
1341	9192	82467
1342	9199	82460
1343	9206	82456
1344	9213	82446
1345	9220	82440
1346	9227	82434
1347	9234	82427
1348	9241	82422
1349	9248	82417
1350	9254	82408
1351	9261	82403
1352	9268	82395
1353	9275	82388
1354	9282	82382
1355	9289	82378
1356	9296	82369
1357	9303	82364
1358	9309	82356
1359	9316	82347
1360	9323	82339
1361	9330	82334
1362	9337	82328
1363	9344	82322
1364	9351	82316
1365	9357	82309
1366	9364	82302
1367	9371	82293
1368	9378	82286
1369	9384	82278
1370	9391	82272
1371	9398	82265
1372	9405	82260
1373	9412	82252
1374	9419	82246
1375	9426	82239
1376	9432	82230
1377	9439	82224
1378	9446	82218
1379	9453	82209
1380	9460	82202
1381	9467	82196
1382	9473	82189
1383	9480	82182
1384	9487	82174
1385	9494	82166
1386	9500	82159
1387	9507	82150
1388	9514	82142
1389	9521	82138
1390	9528	82132
1391	9535	82124
1392	9542	82117
1393	9549	82113
1394	9556	82108
1395	9563	82103
1396	9570	82097
1397	9577	82093
1398	9584	82085
1399	9591	82079
1400	9598	82073
1401	9605	82068
1402	9612	82063
1403	9618	82055
1404	9626	82053
1405	9633	82048
1406	9640	82041
1407	9647	82034
1408	9654	82028
1409	9661	82022
1410	9668	82018
1411	9675	82013
1412	9682	82010
1413	9689	82004
1414	9696	81997
1415	9703	81994
1416	9710	81987
1417	9717	81981
1418	9724	81973
1419	9730	81966
1420	9737	81957
1421	9744	81949
1422	9751	81942
1423	9757	81935
1424	9764	81926
1425	9771	81917
1426	9777	81909
1427	9784	81900
1428	9790	81889
1429	9797	81884
1430	9804	81877
1431	9811	81870
1432	9818	81867
1433	9825	81860
1434	9832	81854
1435	9839	81846
1436	9846	81841
1437	9853	81835
1438	9860	81829
1439	9867	81824
1440	9874	81817
1441	9881	81817
1442	9888	81810
1443	9895	81802
1444	9902	81796
1445	9909	81787
1446	9916	81781
1447	9923	81778
1448	9930	81772
1449	9936	81763
1450	9944	81759
1451	9951	81755
1452	9958	81752
1453	9965	81746
1454	9972	81740
1455	9979	81734
1456	9986	81729
1457	9994	81728
1458	10001	81724
1459	10008	81717
1460	10015	81710
1461	10022	81706
1462	10029	81703
1463	10036	81697
1464	10043	81689
1465	10050	81682
1466	10057	81676
1467	10063	81669
1468	10070	81664
1469	10077	81656
1470	10084	81648
1471	10090	81639
1472	10097	81632
1473	10104	81628
1474	10111	81621
1475	10118	81611
1476	10125	81605
1477	10132	81599
1478	10138	81591
1479	10145	81585
1480	10153	81581
1481	10160	81575
1482	10166	81568
1483	10173	81559
1484	10180	81553
1485	10187	81546
1486	10194	81540
1487	10200	81532
1488	10207	81524
1489	10214	81518
1490	10221	81513
1491	10228	81506
1492	10235	81500
1493	10242	81491
1494	10249	81485
1495	10255	81478
1496	10262	81472
1497	10269	81464
1498	10276	81457
1499	10283	81451
1500	10290	81442
1501	10296	81436
1502	10303	81428
1503	10310	81418
